"Scenario","Coverage","AbsoluteBiasMean","EmpiricalSE"
1,1,0.122272603236666,0.300731466078848
2,1,0.860668568711369,5.18619526477739
3,0,0.773422403575101,0.446872338736057
4,0.2,0.913269395336638,0.559643306172717
5,1,0.485576723153148,0.834132116328851
6,0.8,0.898630473370508,1.27057124647291
7,0,0.995148428398265,NA
8,0,3.78522654199805,1.65184737307618
9,0.666666666666667,1.54066829872462,1.38730735405742
10,NA,NA,NA
11,0,1.81354248338209,1.05876426269565
12,NA,NA,NA
13,0.333333333333333,1.43033323328872,1.36363183650828
14,NA,NA,NA
15,0,3.06630416189394,1.36706845701772
16,NA,NA,NA
